arch,num_qubits,scale,compilation_time,depth,swap
heavy-hex,5,1,0.0253140926361084,14,6
heavy-hex,10,2,0.015100717544555664,44,36
heavy-hex,15,3,0.01944708824157715,87,102
heavy-hex,20,4,0.03848385810852051,118,192
heavy-hex,25,5,0.047083139419555664,206,367
heavy-hex,30,6,0.059545040130615234,261,604
heavy-hex,35,7,0.08170533180236816,293,689
heavy-hex,40,8,0.11348128318786621,409,1153
heavy-hex,45,9,0.12648892402648926,424,1219
heavy-hex,50,10,0.1604938507080078,798,1871
heavy-hex,55,11,0.19384193420410156,908,2260
heavy-hex,60,12,0.2713658809661865,1374,3442
heavy-hex,65,13,0.27053213119506836,1116,3285
heavy-hex,70,14,0.32451605796813965,665,2994
heavy-hex,75,15,0.3704049587249756,883,3624
heavy-hex,80,16,0.4579782485961914,1246,6388
heavy-hex,85,17,0.49509596824645996,1663,6105
heavy-hex,90,18,0.5992681980133057,1608,5885
heavy-hex,95,19,0.6403319835662842,1822,8075
heavy-hex,100,20,0.7759749889373779,2103,8351
