arch,scale,comp_time,depth,swap,cphase
heavy-hex,4,0.6266059875488281,134,196,190
heavy-hex,6,0.11973905563354492,229,523,435
heavy-hex,8,0.23659110069274902,341,841,780
heavy-hex,10,0.379910945892334,468,1619,1225
heavy-hex,12,0.6638369560241699,586,2538,1770
heavy-hex,14,0.6959607601165771,846,3678,2415
heavy-hex,16,1.0331699848175049,741,3848,3160
heavy-hex,18,1.338740348815918,943,4992,4005
heavy-hex,20,1.7760009765625,1451,6849,4950
heavy-hex,22,2.0618770122528076,1648,7666,5995
heavy-hex,24,2.561321973800659,1154,8356,7140
heavy-hex,26,4.192621231079102,2388,13087,8385
heavy-hex,28,3.4771652221679688,2530,14249,9730
heavy-hex,30,4.256562948226929,1831,13897,11175
heavy-hex,32,5.027257919311523,3486,20501,12720
heavy-hex,34,6.090631008148193,4694,26902,14365
heavy-hex,36,6.248338937759399,2509,20939,16110
heavy-hex,38,7.543426036834717,3645,31183,17955
heavy-hex,40,7.971081018447876,2598,26058,19900
heavy-hex,42,10.048628807067871,4103,36982,21945
heavy-hex,44,11.971401929855347,5082,40844,24090
heavy-hex,46,11.649956941604614,5966,36812,26335
heavy-hex,48,13.238944053649902,3909,39425,28680
heavy-hex,50,13.095698118209839,6630,48265,31125
heavy-hex,52,14.222100257873535,5124,48052,33670
heavy-hex,54,19.10372018814087,10137,80794,36315
heavy-hex,56,19.112666130065918,13761,80120,39060
heavy-hex,58,18.384434938430786,8700,56056,41905
heavy-hex,60,20.56225895881653,7687,62426,44850
heavy-hex,62,22.77294087409973,11391,83018,47895
heavy-hex,64,26.146290063858032,11095,85874,51040
heavy-hex,66,26.291815757751465,8529,90750,54285
heavy-hex,68,27.212652683258057,12723,90037,57630
heavy-hex,70,28.418806076049805,11092,93509,61075
heavy-hex,72,31.557865858078003,22367,124262,64620
heavy-hex,74,33.10298490524292,25922,126397,68265
heavy-hex,76,34.90302801132202,19637,124801,72010
heavy-hex,78,36.65978789329529,10663,121696,75855
heavy-hex,80,38.958303928375244,16067,138291,79800
heavy-hex,82,44.03632879257202,20898,167560,83845
heavy-hex,84,42.64690613746643,11162,134117,87990
heavy-hex,86,42.261486768722534,8550,128922,92235
heavy-hex,88,45.84048104286194,11243,145415,96580
heavy-hex,90,60.971351146698,15820,175035,101025
heavy-hex,92,53.82412099838257,11581,145798,105570
heavy-hex,94,58.64914870262146,9098,144961,110215
heavy-hex,96,64.89315700531006,19299,175081,114960
heavy-hex,98,64.33933687210083,16252,159324,119805
heavy-hex,100,67.90243291854858,13546,205026,124750
heavy-hex,102,90.42168688774109,20323,235440,129795
heavy-hex,104,79.34415793418884,31230,260404,134940
heavy-hex,106,69.11173391342163,11038,187727,140185
heavy-hex,108,77.49987602233887,17321,224066,145530
heavy-hex,110,84.97315502166748,38861,284689,150975
heavy-hex,112,88.70116591453552,24672,272441,156520
heavy-hex,114,85.81823801994324,23657,237936,162165
heavy-hex,116,92.42285013198853,17066,233907,167910
heavy-hex,118,93.32257294654846,11736,221533,173755
heavy-hex,120,108.09617471694946,31802,318092,179700
heavy-hex,122,121.39247417449951,34076,363521,185745
heavy-hex,124,116.09594655036926,52313,339001,191890
heavy-hex,126,118.21839594841003,19702,311163,198135
heavy-hex,128,129.08571600914001,30627,360998,204480
heavy-hex,130,131.871750831604,39408,380645,210925
heavy-hex,132,134.8538691997528,28650,326787,217470
heavy-hex,134,125.96109318733215,35656,344605,224115
heavy-hex,136,134.84390091896057,48502,381046,230860
