arch,num_qubits,scale,depth,swap,compilation_time
lattice_surgery,16,4,74,37,0.01709890365600586
lattice_surgery,36,6,210,235,0.04349470138549805
lattice_surgery,64,8,676,932,0.13657164573669434
lattice_surgery,100,10,981,2365,0.3766448497772217
lattice_surgery,144,12,2482,5738,0.847388744354248
lattice_surgery,196,14,4182,10762,1.7584588527679443
lattice_surgery,256,16,5407,20813,3.223085880279541
lattice_surgery,324,18,8172,34010,5.384902000427246
lattice_surgery,400,20,11818,55474,8.668047904968262
lattice_surgery,484,22,16503,82973,13.075294017791748
lattice_surgery,576,24,22928,121188,21.134143590927124
lattice_surgery,676,26,28445,161627,28.567121982574463
lattice_surgery,784,28,34416,222323,39.43072271347046
lattice_surgery,900,30,47161,305807,55.2638144493103
lattice_surgery,1024,32,61999,400269,72.04025912284851
